TimeStamps,Tweets
2023-08-26T13:02:31.000Z,"ITC Demerger - Why did it happen? 

https://instagram.com/p/CwaJyrEMfOu/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==…

#stockmarkets #stockmarketeducation #stockmarkettips #commodity #commoditytrading #nseindia #bseinda #goldtrading #sarafa #marketupdate #crudeoil #naturalgas #stockmarketindia #nse #bse #banknifty #nifty"
2023-08-26T11:34:17.000Z,"Hotels Demerger: How Positive Will It Be For ITC? - Nice article from R&R

https://blog.researchandranking.com/itc-hotels-after-demerger/…
@ITCCorpCom
 @ITCHotels
 @dmuthuk
 @researchandrank"
2023-08-25T15:47:21.000Z,"ITC was running in expectation of the demerger announcement. Once the the demerger is actually announced, it has started falling. And continuously falling since then. "
2023-08-25T09:24:23.000Z,Is there any opportunity in such scenarios? ITC and hotels demerger will create a similar scenario. The obvious one is to sit tight and let it bottom out.
2023-08-21T12:17:11.000Z,"Decoding the ITC Demerger Share Entitlement Ratio #shorts #shortsfeed  #... https://youtu.be/hwzvrgDmTN4 via 
@YouTube"
2023-08-21T11:01:51.000Z,"Cyril Amarchand Mangaldas advises ITC Limited on demerger of its hotels business
#Law #Latest #LatestLaws #LegalNews #India #IndianNews #News #Legal"
2023-08-21T07:13:07.000Z,"Yatin mota is by far the fastest business journalist in India 

He actually predicted ITC Demerger 3 years ago in 2020 ! 

He has a Time Machine ! 
@YatinMota"
2023-08-20T19:57:00.000Z,ITC after the demerger 
2023-08-19T17:10:01.000Z," #ITC 's Crossroads: Demerger News Sparks Speculation  As the demerger news emerges, #ITC  finds itself at a pivotal moment. Will this development change the trend or potentially lead to a breakdown below the 20 WMA? #StocksToTrade #StocksInFocus #Chartingstocks"
2023-08-19T10:04:52.000Z,It went too far in expectation of demerger and now coming back to its actual value which is 25 PE. Till Nifty was below 18800 ITC was star but now from 19000 to 22000 it will not participate. ITC is poster boy of bear markets.
2023-08-19T08:42:40.000Z,"Some of the our amazing 2x inputs  

1) ITC 220 > 500
2) Mirza (before demerger) 70 > 350+
3) HSCL 60 > 170
4) Apollo Micro Systems 18 >> 60
5) IOB 17 > 34
6) Texrail 50 > 120
7) IDFC First 30 > 90
8) Daawat 70 > 190
9) Auro Pharma 400 > 800+
10) KPIT 500 > 1000+"
2023-08-18T07:02:48.000Z,"But are you ok with that ratio sirji demerger. 
1 for 10 seems to be unfair to ITC shareholders, please share your opinion"
2023-08-18T05:02:01.000Z,"Exciting news for investors!
ITC Hotels' demerger ratio has been approved.
Stay tuned for more updates on share price, listing date, and timeline. 

Know More: https://zeebiz.com/markets/stocks/news-itc-hotels-demerger-ratio-approved-latest-news-share-price-listing-date-timeline-nse-bse-249465…

#ITCHotels 
@ITCCorpCom
 #demerger"
2023-08-18T04:59:34.000Z,"The first reason shareholders are unhappy is the #demerger #swapratio. The board announced swap ratio of 1:10 i.e., shareholders of #ITC Ltd get 1 share of #ITCHotels Ltd for 10 shares of ITC held. Investors feel the swap ratio does not reflect the loss of value for investors"
2023-08-18T04:59:33.000Z,"In last two weeks, the stock of #ITC has fallen more than 12%. That is a sharp fall for a stock that defied gravity in 2023. Incidentally, the sharp fall in the ITC stock came after the company announced the #demerger of the hotels business, #ITCHotels from the parent company"
2023-08-17T17:50:06.000Z,"ITC lost 57 rupees after the demerger announcement. Assuming 100 rupees a share valuation for 1 hotel share the fall would have been just 10 a share. However it seems to be heading for a loss of 100 rupees. Are you creating or destroying wealth 
Mr Chairman?
@ITCCorpCom
@dmuthuk"
