,TimeStamps,Tweets,Year,Month,Date,Cleaned_Tweet,Sentiment
0,2023-08-26,"ITC Demerger - Why did it happen? 

https://instagram.com/p/CwaJyrEMfOu/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==…

#stockmarkets #stockmarketeducation #stockmarkettips #commodity #commoditytrading #nseindia #bseinda #goldtrading #sarafa #marketupdate #crudeoil #naturalgas #stockmarketindia #nse #bse #banknifty #nifty",2023,08,26,itc demerger happen stockmarkets stockmarketeducation stockmarkettips commodity commoditytrading nseindia bseinda goldtrading sarafa marketupdate crudeoil naturalgas stockmarketindia nse bse banknifty nifty,Positive
1,2023-08-26,"Hotels Demerger: How Positive Will It Be For ITC? - Nice article from R&R

https://blog.researchandranking.com/itc-hotels-after-demerger/…
@ITCCorpCom
 @ITCHotels
 @dmuthuk
 @researchandrank",2023,08,26,hotels demerger positive itc nice article r r itccorpcom itchotels dmuthuk researchandrank,Positive
2,2023-08-25,"ITC was running in expectation of the demerger announcement. Once the the demerger is actually announced, it has started falling. And continuously falling since then. ",2023,08,25,itc running expectation demerger announcement demerger actually announced started falling continuously falling since,Negative
3,2023-08-25,Is there any opportunity in such scenarios? ITC and hotels demerger will create a similar scenario. The obvious one is to sit tight and let it bottom out.,2023,08,25,opportunity scenarios itc hotels demerger create similar scenario obvious one sit tight let bottom,Negative
4,2023-08-21,"Decoding the ITC Demerger Share Entitlement Ratio #shorts #shortsfeed  #... https://youtu.be/hwzvrgDmTN4 via 
@YouTube",2023,08,21,decoding itc demerger share entitlement ratio shorts shortsfeed via youtube,Negative
5,2023-08-21,"Cyril Amarchand Mangaldas advises ITC Limited on demerger of its hotels business
#Law #Latest #LatestLaws #LegalNews #India #IndianNews #News #Legal",2023,08,21,cyril amarchand mangaldas advises itc limited demerger hotels business law latest latestlaws legalnews india indiannews news legal,Positive
6,2023-08-21,"Yatin mota is by far the fastest business journalist in India 

He actually predicted ITC Demerger 3 years ago in 2020 ! 

He has a Time Machine ! 
@YatinMota",2023,08,21,yatin mota far fastest business journalist india actually predicted itc demerger years ago time machine yatinmota,Positive
7,2023-08-20,ITC after the demerger ,2023,08,20,itc demerger,Positive
8,2023-08-19," #ITC 's Crossroads: Demerger News Sparks Speculation  As the demerger news emerges, #ITC  finds itself at a pivotal moment. Will this development change the trend or potentially lead to a breakdown below the 20 WMA? #StocksToTrade #StocksInFocus #Chartingstocks",2023,08,19,itc crossroads demerger news sparks speculation demerger news emerges itc finds pivotal moment development change trend potentially lead breakdown wma stockstotrade stocksinfocus chartingstocks,Positive
9,2023-08-19,It went too far in expectation of demerger and now coming back to its actual value which is 25 PE. Till Nifty was below 18800 ITC was star but now from 19000 to 22000 it will not participate. ITC is poster boy of bear markets.,2023,08,19,went far expectation demerger coming back actual value pe till nifty itc star participate itc poster boy bear markets,Negative
10,2023-08-19,"Some of the our amazing 2x inputs  

1) ITC 220 > 500
2) Mirza (before demerger) 70 > 350+
3) HSCL 60 > 170
4) Apollo Micro Systems 18 >> 60
5) IOB 17 > 34
6) Texrail 50 > 120
7) IDFC First 30 > 90
8) Daawat 70 > 190
9) Auro Pharma 400 > 800+
10) KPIT 500 > 1000+",2023,08,19,amazing x inputs itc mirza demerger hscl apollo micro systems iob texrail idfc first daawat auro pharma kpit,Positive
11,2023-08-18,"But are you ok with that ratio sirji demerger. 
1 for 10 seems to be unfair to ITC shareholders, please share your opinion",2023,08,18,ok ratio sirji demerger seems unfair itc shareholders please share opinion,Positive
12,2023-08-18,"Exciting news for investors!
ITC Hotels' demerger ratio has been approved.
Stay tuned for more updates on share price, listing date, and timeline. 

Know More: https://zeebiz.com/markets/stocks/news-itc-hotels-demerger-ratio-approved-latest-news-share-price-listing-date-timeline-nse-bse-249465…

#ITCHotels 
@ITCCorpCom
 #demerger",2023,08,18,exciting news investors itc hotels demerger ratio approved stay tuned updates share price listing date timeline know itchotels itccorpcom demerger,Positive
13,2023-08-18,"The first reason shareholders are unhappy is the #demerger #swapratio. The board announced swap ratio of 1:10 i.e., shareholders of #ITC Ltd get 1 share of #ITCHotels Ltd for 10 shares of ITC held. Investors feel the swap ratio does not reflect the loss of value for investors",2023,08,18,first reason shareholders unhappy demerger swapratio board announced swap ratio e shareholders itc ltd get share itchotels ltd shares itc held investors feel swap ratio reflect loss value investors,Positive
14,2023-08-18,"In last two weeks, the stock of #ITC has fallen more than 12%. That is a sharp fall for a stock that defied gravity in 2023. Incidentally, the sharp fall in the ITC stock came after the company announced the #demerger of the hotels business, #ITCHotels from the parent company",2023,08,18,last two weeks stock itc fallen sharp fall stock defied gravity incidentally sharp fall itc stock came company announced demerger hotels business itchotels parent company,Negative
15,2023-08-17,"ITC lost 57 rupees after the demerger announcement. Assuming 100 rupees a share valuation for 1 hotel share the fall would have been just 10 a share. However it seems to be heading for a loss of 100 rupees. Are you creating or destroying wealth 
Mr Chairman?
@ITCCorpCom
@dmuthuk",2023,08,17,itc lost rupees demerger announcement assuming rupees share valuation hotel share fall would share however seems heading loss rupees creating destroying wealth mr chairman itccorpcom dmuthuk,Negative
